name,slug,specialty,category,locations,address,bio,photo_url,booking_url,url
"Sachi Mistry, MD",dr-sachi-mistry,Family Medicine,Family Medicine,North Dallas,,"Dr. Sachi Mistry is a board-certified Family Medicine physician with a passion for delivering comprehensive, patient-centered care. She earned her Bachelor of Science from the University of Nebraska-Lincoln, and her medical degree from Saint Louis University School of Medicine. She completed her residency training at UT Southwestern Medical Center and now calls Dallas home. Dr. Mistry is dedicated to forming meaningful, long-lasting relationships with her patients and working collaboratively to achieve their health and wellness goals. She believes in treating the whole person – body, mind, and spirit – and takes a proactive approach to preventive care, chronic disease management, and patient education. When not practicing medicine, she enjoys traveling, spending time with her family, and playing with her Goldendoodle.",https://stellamattina.com/wp-content/uploads/2024/11/Dr_Sachi_Mistry.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/dr-sachi-mistry/
"Charles Safely, MD",dr-safely,OBGYN,Women’s Health,Arlington/Midcities,,"Dr. Safely, a native to Texas, opened his practice in 1996. As a licensed and board certified M.D. in the state of Texas, he carries degrees from multiple Texas Scholar Universities. Trained in obstetrics and gynecology at John Peter Smith Hospital in Fort Worth, Dr. Safely cares for what matters most. Happily married for more than 25 years and with two children, Dr. Charles Safely is a member of the Better Business Bureau, American College of Obstetrics and Gynecology, American Association of Gynecologic Laparoscopists, Texas Medical Association, and American Medical Association.",https://stellamattina.com/wp-content/uploads/2025/01/GRC1728-Safely-Charles-A.-1962468835-P2-scaled.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/dr-safely/
"Elizabeth Kimani, MSN, BSN, RN",elizabeth-kimani-msn-bsn-rn,Family Medicine,Family Medicine,Carrollton,,"Elizabeth Kimani is an experienced registered nurse and emerging family nurse practitioner dedicated to delivering compassionate, high-quality patient care. She earned her Master of Science in Nursing (Family Nurse Practitioner) and Bachelor of Science in Nursing from the University of Texas at Arlington, graduating Magna Cum Laude. With over 15 years of clinical experience spanning home health, acute care, long-term, and rehabilitation settings, Elizabeth has developed expertise in chronic disease management, pediatric and women’s health, and complex medical care. She is recognized for her leadership as a former Assistant Director of Nursing and has been honored as Manager of the Year at NorthPark Health & Rehab Center. Elizabeth is passionate about holistic, family-centered care and empowering patients through education and preventive health.",https://stellamattina.com/wp-content/uploads/2025/11/Elizabeth_K.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/elizabeth-kimani-msn-bsn-rn/
"Gonzalo Venegas, MD",gonzalo-venegas-md,OBGYN,Women’s Health,Bishop Arts,,"Dr. Gonzalo Venegas, MD is the Medical Director for Stella Mattina Health. He is a distinguished obstetrician-gynecologist and healthcare leader with more than four decades of service to the Dallas medical community. Dr. Venegas has combined academic excellence with community impact throughout his career. He has served as Chairman of the Department of Obstetrics and Gynecology at Methodist Dallas Medical Center, guiding quality initiatives, physician development, and women’s health programs. As a member of the Parkland Health & Hospital System Board of Managers, he contributed his clinical insight to systemwide governance and community health planning. At UT Southwestern, he trained and mentored residents and young physicians, fostering the next generation of OBGYN specialists. Widely respected for his integrity, mentorship, and bilingual outreach, Dr. Venegas continues to strengthen the connection between academic medicine and compassionate community care.",https://stellamattina.com/wp-content/uploads/2024/03/bio_gv.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/gonzalo-venegas-md/
"Iqra Qureshi, MD",iqra-qureshi-md,Family Medicine,Family Medicine,North Dallas,,"Dr. Iqra Qureshi is a board-certified Family Medicine physician. She was born in San Antonio and grew up in Chandler, Arizona before returning to Texas. After graduating cum laude with a Bachelor of Science in Neuroscience from the University of Texas at Dallas, she attended Texas A&M College of Medicine with rotations in College Station, Temple, and Dallas, TX. Thereafter, she completed residency with a Texas A&M-associated program in Victoria, TX with DeTar Healthcare Systems, where she was on the executive board as the Geriatrics Liaison for two years. She is a member of the Texas Academy of Family Physicians, the American Medical Association, and the Texas Medical Association. Dr. Qureshi sees a wide range of patients. She enjoys getting to know her patients, developing strong, trusting, long-lasting relationships, and working with them to reach and maintain their health goals. She enjoys riding her bike, longboarding, skateboarding, and spending time with her family. She speaks Spanish as well.",https://stellamattina.com/wp-content/uploads/2024/03/bio_iq.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/iqra-qureshi-md/
"Jared Eaves, MD",jared-eaves-md,OBGYN,Women’s Health,Buckner,,"Dr. Jared Eaves was born and raised in Brownsville, TX. His interest in medicine started at a very young age, mostly influenced by his curiosity about science and his grandmother’s battle with colon cancer. After high school, he attended The University of Texas at Austin, where he received his Bachelor of Business Administration in Marketing from the McCombs School of Business. Thereafter, he moved back home and received his MD at the UT Rio Grande Valley School of Medicine. He then moved to Dallas for residency at Methodist Dallas Medical Center, where he was the chief administrative resident in his last year. Dr. Eaves learned from the providers at Stella Mattina Women’s Specialty Center in residency and decided to join the group himself after finishing training. Outside of work, Dr. Eaves enjoys cooking and traveling with his fiancé, Alex.",https://stellamattina.com/wp-content/uploads/2024/09/Jared_Eaves.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/jared-eaves-md/
"Jeffrey S. Sandate, MD",jeffrey-s-sandate-md,OBGYN,Women’s Health,Bishop Arts,,"Dr. Jeffrey Sandate was born and raised in Carlsbad, New Mexico, where at a very early age he knew he wanted to become a physician. Throughout his grandmother’s battle with cancer, he was surrounded by caring and compassionate doctors, which piqued his interest in the medical field. His commitment to becoming a physician took him to the University of Notre Dame, where he completed a Bachelor of Science degree in Pre-Professional studies. He then attended medical school in his home state.",https://stellamattina.com/wp-content/uploads/2024/03/bio_js.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/jeffrey-s-sandate-md/
"Jorge F. Lopez, MD, FACOG",jorge-f-lopez-md-facog,OBGYN,Women’s Health,North Dallas,,"Dr. Jorge F. Lopez is an obstetrician-gynecologist in Dallas, Texas and is affiliated with Medical City Dallas. He has been in practice for over 25 years meeting the needs of his patients with care and compassion. Dr. Lopez specializes in routine gynecological care, pregnancy, and childbirth. He is an experienced surgeon specializing in robotic hysterectomy, laparoscopy, and minimally invasive procedures.",https://stellamattina.com/wp-content/uploads/2025/11/Lopez-resized.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/jorge-f-lopez-md-facog/
"Joshua Weiss, MD",joshua-weiss-md,Maternal-Fetal Medicine (MFM),Women’s Health,North Dallas,,"Dr. Joshua Weiss grew up in Kingwood, Texas. He attended The University of Texas in Austin and The University of Texas Southwestern Medical School in Dallas. He performed his OBGYN residency at Methodist Hospital of Dallas. Upon completion of his residency, he moved to New York City where he performed his maternal-fetal medicine fellowship at Columbia University. He is board certified in both obstetrics and gynecology and maternal-fetal medicine. He began the practice of maternal-fetal medicine in Dallas in 2003. In 2006, he opened his current office, Joshua L. Weiss, M.D. Associated. He and his wife, Anne, have two sons.",https://stellamattina.com/wp-content/uploads/2025/03/DSC_0978.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/joshua-weiss-md/
"Kathy Shum-Ellington, DO",kathy-shum-ellington-do,OBGYN,Women’s Health,Samuell (White Rock Lake),,"Dr. Shum grew up in Katy, TX. She is a graduate of Texas A&M University with a Bachelor of Science degree in Biology. She received her medical degree from Texas College of Osteopathic Medicine in Fort Worth, TX. Dr. Shum then completed her residency training at Methodist Dallas Medical Center. She has a special interest in minimally invasive gynecologic surgery, infertility counseling, and contraception, and is passionate about providing the highest level of care to her patients. Outside of work, she enjoys traveling, cooking, and spending time with her husband and her dog, Jet.",https://stellamattina.com/wp-content/uploads/2024/09/DSC_1128.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/kathy-shum-ellington-do/
"Kenneth G. Goldaber, MD",kenneth-g-goldaber-md,"Maternal-Fetal Medicine (MFM), OBGYN",Women’s Health,Arlington/Midcities,,"Dr. Kenneth Goldaber has specialized in Maternal-Fetal Medicine (MFM) since 1992. He received his medical degree from the University of Miami and his undergraduate degree from Duke University. He completed his Obstetrics and Gynecology residency at Parkland Memorial Hospital in Dallas, Texas, before continuing his training in a Maternal-Fetal Medicine fellowship at the University of Texas Southwestern Medical School. In addition to practicing medicine, Dr. Goldaber has taught at the University of Texas Southwestern Medical Center since 1990 and currently serves as a Clinical Associate Professor in the Department of Obstetrics and Gynecology/Division of Maternal-Fetal Medicine.",https://stellamattina.com/wp-content/uploads/2024/10/Dr-Goldaber.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/kenneth-g-goldaber-md/
"Margaret Warren, DO",margaret-warren,Maternal-Fetal Medicine (MFM),Women’s Health,North Dallas,,,https://stellamattina.com/wp-content/uploads/2025/03/Practitionier-Name.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/margaret-warren/
"Montoya Rainey, RDMS, WHNP",montoya-rainey-rdms,OBGYN,Women’s Health,Rockwall,,"Born in Iowa but now a Texan, Montoya Rainey is a Women’s Health Nurse Practitioner on a mission to promote wellness and empower women in their healthcare journey. Having worked in many areas of healthcare in various capacities, including pediatrics and women’s health, she became a diagnostic registered sonographer specializing in OBGYN in 2003. Her RN degree is from Texas Woman’s University, followed by an advanced practice degree with a concentration in women’s health. She is married with three children and loves spending time with family, attending sporting events, cooking, crafting, and reading.",https://stellamattina.com/wp-content/uploads/2025/11/Montoya-Rainey.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/montoya-rainey-rdms/
"Pilar M. Bescos, MD",pilar-m-bescos-md,Family Medicine,Family Medicine,North Dallas,,"Dr. Pilar Bescos is a board-certified Family Medicine physician. She attended Southwestern Medical School in Dallas and received a degree from the University of Malaga, Spain, which allows her to practice internationally. Dr. Bescos is fluent in Spanish. She completed her residency at University of Texas Medical Center in Houston where she served as chief resident for two consecutive years. Dr. Bescos sees a wide range of patients – including children, adolescents, and adults.",https://stellamattina.com/wp-content/uploads/2024/03/bio_pb.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/pilar-m-bescos-md/
"Priscilla Abraham, PA",priscilla-abraham-pa,Family Medicine,Family Medicine,Buckner,,"Priscilla Abraham is a Board Certified Physician Assistant from Dallas, Texas. She completed her Masters at UTMB in Galveston and her undergraduate studies at Texas A&M University. Priscilla is committed to providing compassionate patient-centered care, and empowering individuals to feel confident and well-informed throughout their health journeys. Outside of her clinical work, Priscilla enjoys spending quality time with her family and friends, and she is actively involved in her church and local community.",https://stellamattina.com/wp-content/uploads/2025/08/Priscilla-Abraham.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/priscilla-abraham-pa/
"Robert J. Vásquez, MD",robert-j-vasquez-md,OBGYN,Women’s Health,Bishop Arts,,"Dr. Vásquez grew up in Andrews, TX. He has a special interest in wellness and the psychosocial aspects of medicine. He believes in having a personalized, caring approach to treatment, considering how all aspects of life can impact wellness and health. He is a graduate from Texas of the Permian Basin BS with a degree in Biology. He received his Medical Degree at Texas Tech University Health Sciences Center. He then completed his residency program in 2019 where he was recognized with the “Excellence in Obstetrics” award. Dr. Vásquez is fluent in Spanish. In his spare time, he enjoys spending time with his husband and two dogs, Oliver and Florence, as well as cooking and floral design.",https://stellamattina.com/wp-content/uploads/2024/03/bio_rv.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/robert-j-vasquez-md/
"Ruth Ann Moseley, AGNP-C",ruth-ann-moseley-app,OBGYN,Women’s Health,Buckner,,"Ruth Ann Moseley was raised in the small East Texas town of Malakoff. After graduating high school, she earned a Bachelor’s degree in Human Resource Management from Sam Houston State University. Her healthcare journey began as a Pharmacy Technician, where she worked for four years and discovered her passion for medicine and patient care. Following graduation, Ruth Ann moved to Dallas and began a 24-year tenure as a Practice Manager for an Internal Medicine physician at Presbyterian Hospital Dallas. This role deepened her interest in direct patient care and ultimately inspired her to return to school to pursue a clinical role. She attended Texas Woman’s University, completing a post-baccalaureate program and earning a Bachelor of Science in Nursing. Over the past 12 years, Ruth Ann has served as a Registered Nurse, while continuing her responsibilities as a Practice Manager. Her experience spans internal medicine as well as assisted living and memory care, where she has further developed her clinical expertise and deepened her compassion for patient-centered care. Motivated to broaden her scope of practice and make a greater impact in healthcare, Ruth Ann pursued graduate studies to become an Adult-Gerontology Primary Care Nurse Practitioner. During her clinical training, she discovered a strong interest in OBGYN and women’s health. Her hands-on experience in women’s health clinics and preceptorship in obstetrics and gynecology have fueled her commitment to delivering holistic, evidence-based care to women across all stages of life. Ruth Ann is dedicated to providing the highest standard of care, with a strong emphasis on patient education, advocacy, and building trusting relationships. In her free time, she enjoys spending time with her husband and their dog, Bubba. Together, they love exploring the outdoors, being on the water – maybe a lake or on the coast – but, most of all, traveling with their lifelong friends.",https://stellamattina.com/wp-content/uploads/2025/05/Ruth-Ann-Moseley.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/ruth-ann-moseley-app/
"Sadia A. Khandaker, MD",sadia-a-khandaker-md,OBGYN,Women’s Health,Bishop Arts,,"Dr. Khandaker was born in Toronto, Canada, and moved to Dallas in 2017. She is a graduate of Queen’s University in Kingston, Ontario (Canada) with a Bachelor of Science (with Honors) in Life Sciences, and a minor in French Studies. She then went on to complete her medical degree at Saba University School of Medicine and completed her clinical rotations both in the US and in Canada. Dr. Khandaker received her residency training in Obstetrics and Gynecology at SUNY Downstate Medical Center. She speaks French as well.",https://stellamattina.com/wp-content/uploads/2024/09/DSC_4679.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/sadia-a-khandaker-md/
"Sami E. Constantine, MD",sami-e-constantine-md,OBGYN,Women’s Health,Mesquite,,"Dr. Sami E. Constantine is an accomplished OBGYN specialist based in Mesquite, TX, who holds board certification in his field. He obtained his medical degree from America University of Beirut and completed his residency at prestigious medical institutions, including Parkland Memorial Hospital and American University of Beirut Hospital. Dr. Constantine has a specific focus on treating various conditions such as fibroids, uterine prolapse, vaginitis, anemia, menopause, and providing comprehensive care. Additionally, he offers specialized services such as Juvéderm and Hormone Pellets to address specific patient needs. Driven by a commitment to patient well-being, he ensures that all care and services are delivered in a comfortable and supportive environment. Dr. Constantine also practices at Texas Regional Women’s Health Center, Dallas Regional Medical Center, and North Texas Team Care. Dr. Constantine is fluent in English and Arabic.",https://stellamattina.com/wp-content/uploads/2024/03/bio_sc.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/sami-e-constantine-md/
